,name,country,review_count,review_date,experience_date,title,content,star_rating
10,fiona,US,2,"Jan 24, 2025","January 23, 2025",Such an amazing service that I use all…,Such an amazing service that I use all the time to get niche items from Korea :),5
11,Tina,US,1,"Jan 22, 2025","January 21, 2025",Delivered Korea is a great service,I have used Delivered Korea for a couple of years and have been very happy with my experiences. I have mainly used the service where they buy items from different Korean websites and ship them to me since I live in the U.S. and can't buy directly. Their customer support communication has been good and I have received my packages quickly and they were packed well.,5
12,Melissa R.,DE,4,"Jan 20, 2025","January 07, 2025",Can only recommend!,I’ve been using delivered Korea for about 2 years now and I’m very happy with their services! All of my packages have arrived quickly and very safely. I love how easy it is to buy products from bunjang through them. Customer service has also always been very quick and kind in their responses.,5
13,j l,SG,2,"Jan 20, 2025","January 20, 2025",Have been using Delivered for years and…,Have been using Delivered for years and they never fail to impress me. They are quick in repacking and shipping the parcels,5
14,Cindy,AU,1,"Jan 18, 2025","January 03, 2025",Reliable & Easy to Use!,I’ve been using Delivered Korea for almost 3yrs now and recommend it to all my friends. The new interface is so easy to use and different shipping options are great! Customer service team is super helpful and respond in a timely manner,5
15,Thomas Chi,US,2,"Jan 9, 2025","December 11, 2024",Ive been ordering items from Korea…,"Ive been ordering items from Korea (Bunjang) via Delivered Korea for sometime. The process is relatively easy, ordering items are also easy, pricea for shipping are fair. The only gripe I have is, it would be better if they would automatically provide photos of the items received and also better refund policies",4
16,Susan,US,1,"Jan 9, 2025","January 09, 2025",Highly recommend!,"Delivered Korea is very user friendly and they work very quickly. If any questions and/or issues come up, they're also quick to respond. I've been using their service for over 2 years now and all 30 or so packages have arrived safely and error-free due to their mindful and careful packaging. It can be a bit nerve wracking to start looking into and using forwarding services, but DK makes it super easy. I highly recommend them!",5
17,Sara Garfeild,AE,3,"Jan 9, 2025","December 11, 2024",Its the best proxy ever!,Its the best proxy ever!! I don’t think i’ll ever use any other proxy’s! It has so many different services and its very helpful and easy to use!!,5
18,JulsiQ,PL,1,"Jan 9, 2025","January 09, 2025",Easy to use and convenient!,"I really recommend Delivered Korea to everyone who wants to experience shopping in Korea. The website is very intuitive and easy to use. I also love the cute animations. Everything is processed surprisingly quickly as well. Everytime I receive a parcel, the itemes arrive safely.",5
19,Diana,SK,3,"Jan 8, 2025","January 02, 2025",Recommend,"I've been using Delivered Korea for close to 2 years now and can only recommend. Easy to use, if there is anything unclear, the support staff responds quickly, prices are better than of competition and free storage longer.The only minus I have found so far is the proxy service that needs to be submitted for each item separately instead of one order from one shop, thus some value-based benefits might be missed, however the price of all combined is still lower than of other proxies.Can only recommend.",5
20,symphonious,SG,1,"Jan 8, 2025","December 02, 2024",Fast delivery,Fast delivery. I've used them to consolidate my parcels its costs about 3 buck per parcel to consolidate. The consolidation takes a few days but the items are packed nicely together then shipped out. There lots of bubble wrap and my merch comes nicely. No issues so far. Saves shipping cost vs direct shipping from weverse,5
21,Ms Lucy Cross,GB,3,"Jan 7, 2025","January 07, 2025",Delivered Korea,Really straightforward and great way to buy things from Bunjang! Staff always reply quick and super helpful :),5
22,universe,SA,1,"Jan 7, 2025","January 07, 2025",10/10 the best,"10/10 thank you for your great service, fast delivery, easy payment and best customer service.",5
23,Grace Y,SG,1,"Updated Jan 8, 2025","December 20, 2024",easy to use,easy to use. packages come packed nicely with tracking. no issues so far. overall good service. company is responsive as well. Used them to consolidate and repack my packages and was fast and packaged nicely,5
24,Eu,SA,1,"Jan 6, 2025","January 05, 2025",Really satisfied,Really satisfied. Thanks,5
25,Byby Junius-Herard,CA,1,"Jan 6, 2025","December 04, 2024",Nice way to order almost everything…,Nice way to order almost everything from korea without paying a ridiculous amount of shipping and its easy to use,5
26,La,SA,5,"Jan 6, 2025","October 17, 2024",just great,it’s an amazing and easy website.very clear,5
27,Missy Gardiner,NZ,1,"Jan 6, 2025","January 06, 2025",10/10 Service,Easy to use and great communication when I need help with something. My parcals always come well packaged with no damages to my items.,5
28,Jenny Xie,US,1,"Jan 5, 2025","January 05, 2025",Great service,"Great service, have been using them for around a year and was able to get everything quickly and in good in good condition. Some things are definitely on the pricier side, but overall good service.",5
29,jasmin hamdan,DE,1,"Jan 5, 2025","January 03, 2025",Very reliable,"Very reliable, very professional! Always ready to help with any request! The shipping is super fast and communication is always quick! I'm very satisfied and i HIGHLY recommend it!",5
30,AC,CA,4,"Jan 5, 2025","August 15, 2024",ive used their inclusion only service…,"ive used their inclusion only service for the first time and its such a game changer. my package came relatively fast and the inclusions were packaged safely + in good condition, would recommend!",5
31,Jamie Gardiner,GB,3,"Jan 5, 2025","January 05, 2025",Great customer service and items came…,Great customer service and items came fast and shipping at a great price! DK is always the best proxy! 🫧,5
32,Karla Reyes,MX,1,"Jan 5, 2025","December 24, 2024",I love this kaddy!,"I love this kaddy!!It is very easy to use, they explain everything and keep you informed of your orders. I will definitely continue using it for my purchases, 10/10 ✨",5
33,David Moreno,CL,1,"Jan 5, 2025","January 05, 2025",Good service,"I've been enjoying browsing for different items recently and I really appreciate their quick response to emails and different questions I've asked them, they also have a good customer service and quick refunds",5
34,Felix,DE,2,"Jan 5, 2025","January 05, 2025",Great service,"Great service, the response time has improved greatly in the last couple of months. Easy to use, easy to get an overview of your orders even if there are many.",5
35,Felix,DE,1,"Jan 5, 2025","January 05, 2025",Great service,"Great service, the response time has improved greatly in the last couple of months. Easy to use, easy to get an overview of your orders even if there are many.",5
36,Stacey Shadbolt,NZ,7,"Jan 5, 2025","November 28, 2024",really happy that I could finally buy…,really happy that I could finally buy hard to get clothing items! and they are cheaper than buying from MUSINA in my country (by about $20),5
37,Kitty Armstrong,US,4,"Updated Jan 6, 2025","January 02, 2025",Communication Is slow,Communication DEFINITELY needs work!I put in a photo request to check the contents of my package to make sure it's the right product and nothing. I'm trying to figure out if I need to pay for it now or wait until I ship it out. NO ANSWER.UPDATE: They got back to me!Have yet to ship anything out from them though. Hopefully it's smooth!,3
38,Barb,IT,5,"Jan 5, 2025","December 20, 2024",The best shipping service in Korea!,"Very reliable, very professional! Always ready to help with any request! The shipping is super fast and communication is always quick! I'm very satisfied and i HIGHLY recommend it!",5
39,erika,US,1,"Jan 5, 2025","January 02, 2025",Highly Recommend!,"Delivered Korea is a fast, efficient way for me to get merchandise from Korea! Their web interface is very user friendly, especially with their recent update, and their customer service was very communicative with me. I've used a lot of their services and I highly recommend!",5
40,Alice,CA,1,"Jan 5, 2025","December 18, 2024",Totally recommend,Staff were very responsive when I reached out with a question about shipping. Very seamless and easy process to buy. Shipping to Canada was super quick as well.,5
41,Mariana M,MX,3,"Jan 5, 2025","January 05, 2025",My favorite korean address,10/10 I’ve been using this website for over a year and they’re amazing! The help you if there’s any problem and let you know if your package arrived in a bad shape so you can repackage it. It’s very easy to use and I love it! I always recommend it to friends💖,5
42,Maëva,FR,2,"Jan 5, 2025","January 05, 2025",Perfect,Perfect ! Been using their services for years and never had a problem !,5
43,Natasha,GB,5,"Dec 19, 2024","December 16, 2024",Amazing as always,"As always, thank you to everyone who packages and ships out my parcels at Delivered Korea. My requests are always fulfilled and any questions are answered, never had a problem and continuously use them to buy things from Weverse and then ship to the UK.",5
44,Barbara Garcia,US,1,"Dec 16, 2024","December 16, 2024",We buy terrible service,"Terrible service, they have repeatedly cancelled the ""we buy"" service on me even though I check the box and pay extra to have the purchase made as soon as possible because the pre-order deadline is almost up, it takes 2 to 3 days to make the purchase and they clearly never managed to buy the product, the first time they responded when the deadline had already ended, and the second time I paid right at the moment they sent me the quote, there was still time to be able to make the purchase but they did not immediately buy the product, since there were only a couple of hours left until the deadline, they sent me an email two days later, saying that the purchase could no longer be made and that they would return the product to me (let's hope so, since I have seen many reviews where they say that they never returned their money)",1
45,yoon,MY,1,"Dec 12, 2024","December 12, 2024",it is great,it is great! it is so easy to report all incoming parcels to the free korean address warehouse. everything is neat and easy to see what the status of my parcels are.,5
46,Sandy Gao,CA,8,"Dec 2, 2024","December 01, 2024",They are the best proxy I have ever…,"They are the best proxy I have ever used, and I have used many proxies worldwide. It was my first time using Bunjang, and I encountered a seller who was dishonest about the product's condition. The seller also refused to take a return, although they did not describe the condition of the product in the post. I was quite upset and was ready to take a loss. However, Delivered Korea still was able to cancel the order for this reason and agreed to process a refund. I really appreciate their service and would recommend them to anybody.",5
47,Jennifer r,US,1,"Nov 28, 2024","November 11, 2024",best proxy,best proxy! I recently used the we buy for the first time from a website I couldn’t purchase myself it was quick and was able to secure my items before it was sold out im so happy with my purchase and this website! highly recommend to anyone who is looking to buy items outside of their country/state,5
48,Bsk,TR,2,"Nov 25, 2024","October 25, 2024",Thank you for the service I received my…,Thank you for the service I received my package so easy and quickly,5
49,HRR,AE,1,"Nov 13, 2024","October 09, 2024",Fast shipping and good service,"This is my first time using delivered Korea service, and I am definitely going to use it again. It was cost efficient as well. Everything was well packaged and arrived safely. Big thanks, for super fast consolidation and packaging everything safely.",5
50,mariana sanchez,CO,2,"Nov 4, 2024","November 03, 2024",I don't think I'll ever use a different…,"I don't think I'll ever use a different korean address proxy, DK is so easy to use, and everyone is so helpful and nice",5
51,Megan Healy,GB,1,"Oct 29, 2024","September 09, 2024",Fantastic service,"Fantastic service, I’ve shipped 8 packages with them so far, the consolidation process was done quickly, and the package shipped the day after requested. The items are always well packaged and I have not received anything damaged.",5
52,Deanna,US,3,"Oct 24, 2024","September 27, 2024",10/10!,10/10!! Absolutely love their service!! I’ve shipped over 4 packages and had over 50 packages consolidated with delivered Korea! They know how to pack a box and get you the best shipping rates!! Their customer service is great too!!,5
53,Happy PNW,US,1,"Oct 17, 2024","September 25, 2024",I've been using Delivered Korea's…,I've been using Delivered Korea's services for about 2 months and have had a positive experience with them. I love the 'we buy' option which allows international customers the opportunity to purchase from sites that can only be accessed if living in Korea. The payment and shipping options are easy to use.,4
54,Elle Harper,GB,3,"Oct 16, 2024","October 16, 2024",One of the best based on my own experiences,I have been using Delivered Korea's services for almost 3 years now and have had nothing but a positive experience with them. I love that they have the 'we buy' option which allows international customers the opportunity to purchase from sites that can only be accessed if living in Korea. Prior to using their proxy forwarding service I had used another another which gave me nothing but problems and was often very costly especially the shipping. I am so glad I moved to Delivered Korea.,4
55,Himawari Nana,MY,2,"Oct 15, 2024","October 15, 2024",Good service,i bought my favourite photocard at Bunjang through Delivered Korea and it was very smooth and easy.,5
56,Mariana Sanchez,CO,1,"Oct 11, 2024","October 11, 2024",You can tell they love helping you with…,You can tell they love helping you with everything you need.DK is definitely one of the best forwarding services there are and the fees aren’t bad,5
57,mar,MX,1,"Oct 8, 2024","May 18, 2024",Easy Korean warehouse,"I've been using Delivered Korea for 5 months and so far I'm satisfied with their services.Strengths: it's easy to use it, the website is intuitive and there are many tutorials you can follow; the process can be really fast when it comes to inform when packages arrive, consolidation and shipping; custom service is good, sometimes it can take a while (especially after weekends and holidays) but they always answer to emails; shipping cost is competitive and I would say even lower than other warehouses.Weaknesses: you cannot know the product's condition or if the package has actually arrived unless you pay for a photo; ""We buy"" orders sometimes are slow, also you can't buy more than 1  product (you can choose the quantity for that product only) even if it's from the same store; free storage period is shorter than other warehouses.However, I only recommended it when you buy a lot of products. There is a $3 fee for each package, even for poly bags (which I find too much for bag), so I think it can be quite expensive sometimes.",4
58,Shining Panda GOs and Trades,US,1,"Oct 6, 2024","October 05, 2024",Fantastic K-Addy!,"Delivered Korea is a fantastic K-addy/proxy and I am so happy to have found them. They make ordering from multiple stores and combining those orders a breeze. Even when I need extra help, they always answer emails swiftly with and with care. Will continue to use!",5
59,Daphne Piedi,US,5,"Oct 5, 2024","October 04, 2024",Client for more than 2 years,"I've been using Delivered Korea for more than 2 years, and the experience has been the best.",5
60,cloudy Boy,US,1,"Oct 2, 2024","October 02, 2024",Good,"A streamlined method to buying products off of Korean sites like Bunjang. The process is not too complicated. I choose extra bubble wrap padding for the delivery, so whenever I get my packages, they have been packed well and securely. Two things I would say is that I wish when using their 'we buy orders' method, there's a way to get a little more involved in the process of communicating with a seller, and also to input a custom price for a listing we want when we're only interested in purchasing one item in the picture (instead of going through the refund process). The fee is also on the pricy side, so when you buy multiple items, it can really add up.",4
61,Maryam,SA,2,"Sep 30, 2024","September 17, 2024",I could give them 10 stars if i could,"I could give them 10 stars if i could!Fast response and good prices, this maybe my 3rd time using their site and i’m not planning to use any other sites from now on 👍🏻👍🏻",5
62,In another Universe,BR,1,"Sep 30, 2024","April 01, 2024",They're great when it comes to the…,"They're great when it comes to the receiving of the package, they'll usually inform quickly when it arrives. The photo feature is also pretty nice. The package consolidation is good, although the type of cardboard used should be improved in order for the item inside to arrive more safely. That would be my only complaint, the rest is amazing!!",4
63,jennifer y,US,1,"Sep 30, 2024","February 28, 2024",the best,"highly recommend them at first it was tricky to use their web but they give u tutorials on how to use, it became simple i use it almost all the time when I can’t find a item in my area, best kaddy out there!",5
64,Soo Bin,SG,1,"Sep 30, 2024","September 24, 2024",items were delivered quickly,items were delivered quickly . The box was even wrapped with additional tape to ensure water proof. Delivery was also very fast with tracking. Easy to use,5
65,saniwa,US,1,"Sep 30, 2024","September 27, 2024",The best Korean forwarding service,"I've been using Delivered Korea for some time now. I love that DK always put such great care into packing my items. Every time I open a DK package, the first thing I notice is how everything is so well packed, and this recent package is no exception. My packages never arrive damaged and they always arrive on time. I'm 100% a very happy customer! I'll definitely keep using Delivered Korea as my main Korean forwarding service.",5
66,Jessica Jessica,US,1,"Updated Sep 30, 2024","September 28, 2024",A must have service for Korean shopping because it saves money!,"I have used Delivered Korea for a while now, and I am very satisfied with the service I've received. I've shipped 11 big packages to myself with their help.I've used the Bunjang service, We Buy & Ship, and of course, the forwarding service. Never had any problems. It costs $3 each for incoming packages, and I think that is a fair price. I used to use an overpriced proxy buyer but switching to DK has saved me so much money just by allowing me to use their address.Also, the way they package your items when you choose to consolidate is top notch. Very secure - they make sure to use the smallest box that will safely fit all the items, so the shipping cost is as low as it can be. I always use FedEx!My only criticisms are that the We Buy & Shop service needs to go back to being able to buy more than 1 item at a time. It makes it more expensive than it needs to be. Also the Bunjang service is $5 per item. That's really expensive.But besides those two things, it's an excellent service and I recommend it to everyone. Don't shop without a Korean address!",5
67,Anniina Salo,FI,1,"Sep 29, 2024","September 29, 2024",pleasure to work with,pleasure to work with! <3,5
68,Lilibe,NL,1,"Sep 29, 2024","September 29, 2024",The best,"Still absolutely love the service of Delivered Korea.Absolutely trustworthy and usually quick with their service, if there is ever delays they communicate that as well. 😊Can recommend them to everyone wanting to try this service.",5
69,Esther Gupana,NZ,1,"Sep 29, 2024","September 01, 2024",The best!,Delivered Korea has been my go to service for shopping or ordering things from Korean stores/websites. Their website is easy to navigate and very straight to the point. They also have really good customer service that responds timely to your questions.,5
70,Ladyy Boss,US,1,"Sep 28, 2024","September 28, 2024",Quick & Easy Services,"It will be my 4th time having something delivered from Delivered Korea. My packages are never late when ordered. Packages are never damaged when they arrive. Shipping is a tad bit expensive but that's only because it ships from overseas and I'd have multiple things in the box. Customer service is quick as well. It depends on the timezone too. Other than that, i will be using Delivered Korea from now on.",4
71,Kaylynn Nguyen,US,1,"Sep 28, 2024","September 28, 2024",Best delivery service!,Delivered Korea was my first and only proxy service that I’ve use! Their site is very easy to navigate and use. My packages are always packed safely with a good amount of bubble wrap. I definitely recommend giving their services a try,5
72,Ptato Human,AE,2,"Sep 28, 2024","August 23, 2024",Will always recommend,"I’ve been using their services for a year now and everything is always perfect, ive used all their services and I absolutely love all of them, tysm dk for everything! I recommend everyone to use dk :)!",5
73,Danielle Summers,GB,1,"Sep 28, 2024","September 12, 2024",Safe and communicative,Great customer service and quick communication. Items always packed perfectly!,5
74,Sofía Murcia,CO,1,"Sep 28, 2024","September 28, 2024",One of the best for buying kpop staff…,One of the best for buying kpop staff or kbeauty! Best proxy service of Korea!!,5
75,michely gomes,BR,1,"Sep 28, 2024","September 28, 2024",100% recomended delivered kr.,"i love using delivered to send my collection, they have such a great support and the service are fast.i can consolidate a few packages and make shipping cheaper.100% recomended!!!",5
76,Maëva,FR,1,"Sep 28, 2024","September 28, 2024",Perfect as always !,Perfect as always !,5
77,Krecensia Kim,US,1,"Aug 27, 2024","August 27, 2024",Quick and efficient communication with…,Quick and efficient communication with customer service representatives.,4
78,Mickaël C,FR,1,"Aug 22, 2024","July 24, 2024",Amazing compagnie not easy for me for…,Amazing compagnie not easy for me for thé first Time but IS Amazing et not expansif,5
79,Chris Tan,SG,1,"Jul 26, 2024","July 15, 2024",Their customer services is not very good,"Their customer services is non-existent, you can only email to them and they can takes days or even weeks to reply you. They will onhold your package and ask you to pay 3 usd to repackage it even though the parcel look ok. sound like more a scam",1
80,Miracles Follow me,US,28,"Jul 26, 2024","July 26, 2024",Overall a pretty good experience,"I have used this service to purchase. I enjoy using their platform to make unique purchases from all over Korea. The order is sent to the warehouse where it is stored for free and then afterwards you are charged. In addition they offer a wide variety of shipping services/couriers, and they have additional packaging services (there is a fee for each service).The reason why I am giving 4 out of 5 is because:-consolidating and shipping process takes longer than expected-customer service take a little bit longer to respond to inquiries-Customs fees: there is an import dollar limit, once a buyer goes over than limit a custom fee/tax is imposed. While i do understand that they cannot control that customs charge a fee, a buyer should be informed of the possibility that customs will impose a fee/tax. Not all of my packages had this fee/tax, but I did have to pay $200 to release one of my packages.Overall a good company. Will use again!!",4
81,Jh,US,1,"Updated Jul 25, 2024","July 22, 2024",BE CAREFUL especially when you don't have your tracking number,"I sent my purchase to the Delivered Korea warehouse.I sent an email to the customer service because the form did not come up after two weeks from the expected arrival date, even though I filled out the address, name, and their phone number without any mistakes.They replied a few days later and told me they couldn't do anything without a tracking number to address it. EVEN THOUGH I DON'T NEED TRACKING NUMBER TO USE THEIR SERVICES.Since I made the purchase offline, I did not have a tracking number, so I asked them to look for the missing package in the warehouse, but they still said they could not do anything without a tracking number.I reached the store where I purchased and they gave me the traxking number after all, and when i look for the package online, it was certainly arrived at the warehouse 2 weeks ago.I sent Delivered Korea the tracking number and they told me that my package was their another warehouse called xxxxxx.The ID for that warehouse was blatantly different from mine and there was no way I could be wrong.I was very disappointed because the product I bought this time was the same kind of product that had been doing Give away on their IG. So that made me think that they could have taken things from me.I don't want to have this kind of uneasy feeling again, so I will stop using Derivard Korea after this time.P.S. Okay it was not an ""ID"" but suite number. And your website mentioned I do not need to worry about a tracking number.Cited:""If you do not know the domestic tracking number of your incoming package yet, you don’t need to worry about it since we are going to create the ‘Incoming Order Form’ on your behalf after your package arrives at our warehouse. Once your package arrives, you will get a notification email informing you that your package has arrived.""",2
82,Abisaday Sánchez,MX,1,"Jul 15, 2024","May 13, 2024",Great service and fair prices,"I love this KA service! I like that the storage is free for a fair amount of time, enough to get all my packages arrive and consolidated.Their customer service team is also very nice. Replying promptly to the concerns and offering great solutions!The prices for shipping are good, specially for the one I prefer, and the consolidation service has always been nice and careful with all the packages!I've been using them as my main KA for over a year now, and have never disappointed me.",5
83,Paulina Meza,MX,1,"Jul 9, 2024","July 08, 2024",Always great service!,Been using Delivered Korea since early this year and I've had a great experience so far. Always willing to help and assist you.,5
84,APRIL,US,4,"Jul 6, 2024","July 05, 2024",Very happy customer,"I have now been using them right at 1 yr, absolutely love them.  I'm able to get things I cannot from the USA, especially Weverse Global items only.  Customer service has always been really helpful, even on dumb questions 🤣.  So happy I found them!",5
85,Esic Pen,ES,2,"Jul 4, 2024","July 04, 2024",Good k-addy experience,"Good k-addy experience, but the consolidation fees are a little expensive. Especially when you have multiple packages, they add up pretty quick. However, I'm glad that they expanded their storage time & shipping to my country isn’t that expensive as with other k-addy services! Another thing I would wish they could change is the availability to pay through Wise (since fees would be less for countries with € or £).",5
86,Ignacia Fleming,CL,1,"Jul 2, 2024","July 02, 2024",Excellent service,"Before I got to know Delivered Korea, I had to buy albums and merch from my favorite artists through local stores which wasn't such a good experience considering that orders had to be according to other customers, and it took so many months and extra money for my packages to arrive.However, ever since I started using Delivery Korea I can buy from Korea without worrying that much about my orders and packages. My experience have been really good, the site is so easy to use and the delivery is also pretty fast and they take a lot of care of the packages, not to mention they give really good coupons and offers from time to time too. I really recommend it!",5
87,Pan Kek,SG,1,"Jun 29, 2024","June 29, 2024",Straightforward proxy service,"Extremely straightforward proxy service with a user-friendly website interface.The team is highly responsive to inquiries, providing excellent customer support. While their prices can be on the higher side, they have recently made several price adjustments to reduce costs, which is much appreciated.However, the buying service has seen some decline due to these changes, as you are now limited to purchasing one item per order despite the lower service fees. It would be great if they could consider offering the option to check out multiple items at once, since that feature is necessary when we're trying to enjoy free domestic shipping or get pre-order benefits.",4
88,Kiki,US,1,"Jun 28, 2024","June 27, 2024",They’ve made shopping for my…,"They’ve made shopping for my merchandise so much cheaper. No more crazy pricy resellers or ridiculous shipping fees. Their proxy and Bunjang service is good. Customer service is good too, I ask so many questions. Cons: sometimes  they don’t read the additional information you write down and they’re less communicative than before. Bunjang- I don’t like the instant buy feature either because I want to negotiate prices or ask questions about a listing. I don’t like how I can’t order multiple items from one website without filling different order forms (meaning getting charged domestic shipping again and again). Otherwise, their fees are reasonable and I would recommend using them.",5
89,JS,US,1,"Jun 28, 2024","June 27, 2024","Using Since 2022, Will Keep On Using","I've been using Delivered Korea's services for over 2 years now, they've been super easy to use and helpful. Their partnership with Bunjang also helped me find Korean products that I could never buy on my own in the US.",5
90,KG,DE,2,"Jun 27, 2024","June 05, 2024",Trustworthy proxy service,"Very trustworthy proxy service, but the consolidation fees are a little expensive. Especially when you have multiple packages, they add up pretty quick. However, I'm glad that they expanded their storage time!",4
91,Deewhy Miner,AU,1,"Jun 27, 2024","June 27, 2024",First time using,"First time using, been happy with both the ""you buy"" and ""we buy"" options. Just waiting for my package to be shipped.",5
92,Claudia,IT,1,"Jun 26, 2024","March 01, 2024",Trustworthy proxy,"Trustworthy proxy. I didn't appreciate much how they packed my magazines covers, the service is not cheap and I get a really better service from other warehouses.",3
93,E Tad,IT,1,"Jun 26, 2024","May 30, 2024",They are very efficient in everything…,They are very efficient in everything they do,5
94,Klaudia,HU,1,"Jun 26, 2024","June 26, 2024",This is the easiest way to order…,This is the easiest way to order something from Korea to your address. The best delivery service i’ve ever used.,5
95,Maeva,FR,1,"Jun 26, 2024","March 06, 2024",great service,"i've used them twice for now and i'm really satisfied, i will continue using them!",5
96,Sharleen Mae Kiu Pabiloña,PH,1,"Jun 26, 2024","June 03, 2024",we buy,"whenever I need to purchase merch/goods from Korean Site, I always use the WE BUY ORDERS service for a hassle free transaction. They are very fast and efficient",5
97,Duc-Thanh Chu,FR,1,"Jun 26, 2024","September 20, 2023",Fantastic :),"Fantastic! I've used it multiple times to ship clothes to France and Canada :) Works great, great website, very easy to navigate, very nice pricing for fast shipping !",5
98,Karen Benson,US,3,"Jun 26, 2024","April 25, 2024",Customer service was excellent,Customer service was excellent. Were very quick to notify me of a price change and if I still wanted the product. Refunded my purchase and were very pleasant to work with. Can't wait to use them again.,5
99,Yen,PH,1,"Jun 26, 2024","June 06, 2024",My items were delivered really fast,"My items were delivered really fast, took only 3 days and you can see the tracking of your parcel every movement which helps me because I tend to overthink and worry a lot if it looks like its not moving. I really love the service. For recommendations, I hope we can have one order form for multiple links for one site ordering since some websites have promo regarding shipping or extra products when reaching a certain amount of purchase. Handling fees will be counted per link too but just one ordering will be made. I hope this will be possible soon. Thank you",5
100,Karin May,US,1,"Jun 26, 2024","June 25, 2024",It's been a week and a half,"It's been a week and a half, and my issue is still unresolved. It's also expensive, especially if you're forwarding many packages. Right now, I'm not very happy with their service. However, the website is very easy to use.",2
101,Avtar Singh,CA,2,"Jun 25, 2024","May 29, 2024",Great Service,Great Service. Fast and reliable. There are plenty of shipping options to choose from.,5
102,ML,US,1,"Updated Jul 16, 2024","June 23, 2024",Good forwarding service,"I have been using DeliveredKorea for a couple years now and have had a good experience for the most part. I mostly use them as a forwarder for my group order items, however I would NOT recommend their Delivered Standard shipping option if you have small packages. I’ve used it twice and my packages have gotten lost— not exactly sure if it’s DK fault or shipping courier. Fedex and UPS are fine though.I do appreciate they lowered their consolidation fees to $1 for envelopes and $3 for packages as those fees can add up pretty quick.Consolidations take a couple days but I usually get a shipping notification within 1-2 days after I pay for shipping. Fast and easy to use service.",4
103,Teresita Cintora,US,1,"Jun 25, 2024","May 23, 2024",Fast Shipping,Pretty fast shipping once items are on hand. Had no problems :),5
104,Nok Kodcharat,TH,1,"Jun 25, 2024","June 08, 2024",deliver items from Korea.,very good services to deliver items from Korea.,5
105,Millie N,NA,2,"Jun 25, 2024","June 03, 2024",Great service great shipping rates,Great service great shipping rates. I got my package in great condition thank you delivered korea. 5 stars I highly recommend!,5
106,Jules P,MX,1,"Jun 25, 2024","June 25, 2024",Great experience with minor issue,"I've been using DK for a year now and generally it's great, fast processing time and offers good shipping rates, only problem is that emailing customer service for inquiries can be quite slow and answers are often unsatisfactory, I wish there was more care or process put into giving more detailed customer service, but if you are using them for shipping small items, it's a fast, dependable, and easy to use service.",4
